series_id,area_code,item_code,,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
APU0000704312,0,704312,,"Ham, boneless, excluding canned, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2026,M05
APU0000710411,0,710411,,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000711412,0,711412,,"Lemons, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000712211,0,712211,,"Lettuce, iceberg, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000FL2101,0,FL2101,,"Lettuce, romaine, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2006,M01,2026,M05
APU0000720111,0,720111,,"Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000716116,0,716116,,"Margarine, soft, tubs, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2025,M10
APU0000FJ1101,0,FJ1101,,"Milk, fresh, low-fat, reduced fat, skim, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2026,M05
APU0000709112,0,709112,,"Milk, fresh, whole, fortified, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000713111,0,713111,,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000711311,0,711311,,"Oranges, Navel, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000711414,0,711414,,"Peaches, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M06,2025,M10
APU0000711413,0,711413,,"Pears, Anjou, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000712406,0,712406,,"Peppers, sweet, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000718311,0,718311,,"Potato chips, per 16 oz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000712112,0,712112,,"Potatoes, white, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1986,M03,2026,M05
APU0000701312,0,701312,,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000703311,0,703311,,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000701322,0,701322,,"Spaghetti and macaroni, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2026,M05
APU0000703512,0,703512,,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2026,M04
APU0000703511,0,703511,,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000703613,0,703613,,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1989,M01,2026,M05
APU0000711415,0,711415,,"Strawberries, dry pint, per 12 oz. (340.2 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M04,2026,M05
APU0000715212,0,715212,,"Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000715211,0,715211,,"Sugar, white, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000712311,0,712311,,"Tomatoes, field grown, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2026,M05
APU0000706311,0,706311,,"Turkey, frozen, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2025,M10
APU0000720222,0,720222,,"Vodka, all types, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2025,M10
APU0000720311,0,720311,,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2026,M05
APU0000FJ4101,0,FJ4101,,"Yogurt, per 8 oz. (226.8 gm) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2026,M05
